age,education_num,hours_per_week,occupation,annual_income
61,11,36.5,service,136642.64
53,15,47.6,technical,174881.3
47,12,56.9,service,150062.67
21,16,47.8,professional,167458.17
22,8,25.3,service,94107.68
53,14,37.7,service,166428.46
18,15,42.6,professional,155661.57
20,16,41.8,management,169714.64
30,9,45.4,service,112030.96
69,16,30.8,sales,188355.84
44,11,40.6,service,137359.29
59,11,44.2,management,150229.21
41,11,48.3,sales,137099.74
28,13,31.9,technical,122406.14
39,13,36.5,technical,136624.81
23,12,15.0,technical,108517.97
62,8,33.8,professional,122478.64
28,16,34.8,management,161915.17
39,9,29.8,sales,113443.61
74,8,41.7,sales,138689.05
52,13,39.4,professional,160579.58
44,11,17.4,management,125853.21
49,13,42.2,management,145437.5
63,15,30.7,professional,177527.36
32,8,44.9,service,98551.49
54,10,27.2,management,111803.75
68,12,40.3,management,153850.99
51,15,37.2,professional,178149.41
43,13,43.0,technical,151454.55
26,11,41.2,technical,131644.47
32,13,37.4,sales,138841.26
72,16,24.6,management,203199.43
49,12,25.2,management,135283.76
35,15,34.2,technical,156830.76
42,15,39.9,sales,156434.44
51,10,33.9,management,131346.15
49,10,46.3,technical,126247.71
58,14,37.2,sales,160702.34
32,9,30.3,professional,109782.11
55,11,37.2,sales,144141.79
43,10,42.3,professional,130473.42
72,13,43.2,technical,166525.29
27,10,58.8,service,120672.6
26,13,33.3,management,130824.61
44,16,39.3,service,180820.44
47,15,44.3,management,180737.87
58,16,39.8,sales,188202.33
41,8,35.0,service,116212.53
70,12,24.5,management,154265.37
45,9,34.9,service,111525.9
25,16,29.3,professional,162319.47
24,14,22.7,service,144236.13
74,10,32.0,sales,152185.51
25,13,29.5,management,136148.46
72,13,45.8,service,170470.38
34,12,46.0,professional,133652.02
23,12,31.0,technical,122827.64
35,8,37.4,technical,111378.72
53,12,21.4,management,137653.68
42,11,35.1,service,129278.46
63,15,44.0,professional,182024.5
53,15,48.2,service,174901.88
41,14,32.9,sales,149568.23
54,8,50.5,professional,121894.61
74,15,24.8,service,190027.36
41,11,27.5,professional,119922.78
26,11,47.1,technical,122087.99
41,16,56.7,technical,177604.42
66,15,44.9,management,188967.99
30,8,39.6,service,107090.67
73,11,18.0,technical,149228.6
52,14,19.8,management,152442.27
52,12,41.3,service,148799.57
36,10,36.4,technical,114005.44
71,12,28.9,professional,155004.55
20,15,40.7,sales,151797.22
35,10,41.2,service,117284.8
42,14,49.4,professional,161333.55
45,14,41.4,professional,161032.67
45,15,52.3,professional,171740.19
26,10,40.1,professional,108440.6
31,9,38.8,service,116525.19
23,12,50.6,professional,147526.79
51,12,30.2,professional,130444.71
38,11,68.1,technical,133535.77
50,15,43.8,sales,166238.44
52,15,43.8,technical,173219.2
58,10,45.3,service,141083.46
49,15,58.8,technical,183863.41
55,10,47.9,management,135749.85
52,11,23.9,technical,130653.15
55,8,54.0,technical,119149.67
53,11,36.6,management,133281.14
36,16,41.1,professional,170996.95
32,11,27.2,sales,104709.57
63,14,45.3,sales,165289.45
37,8,33.5,service,92456.4
49,13,41.0,service,156510.3
29,11,37.2,professional,119975.14
43,14,59.3,service,170503.33
48,16,59.8,technical,177882.88
54,12,40.5,sales,136367.16
48,8,40.6,technical,115691.92
38,12,36.3,service,114439.23
73,9,51.1,technical,149504.81
47,12,36.7,technical,127193.9
64,8,35.8,management,125393.53
60,13,49.8,technical,158299.13
50,10,34.6,management,130630.09
69,9,39.6,technical,153307.08
25,8,24.2,technical,71456.28
71,15,47.0,professional,193489.01
67,15,59.4,management,181217.73
47,15,47.2,sales,175036.75
60,8,54.6,professional,126125.02
48,11,31.5,sales,129432.9
33,16,42.4,management,163812.03
64,13,30.6,management,161378.81
32,9,37.7,sales,96094.65
36,9,47.7,service,121879.49
48,10,41.0,professional,123272.75
66,16,25.9,professional,174651.19
40,9,26.8,management,115496.11
46,16,26.2,professional,169504.08
20,14,44.9,professional,154946.48
24,16,60.6,professional,181428.44
21,15,53.6,professional,152401.59
22,10,21.0,professional,96192.51
68,15,54.2,service,191598.68
66,9,49.4,professional,145632.86
65,10,24.5,service,131617.58
21,9,37.0,service,98539.98
22,9,51.0,service,104487.84
34,8,45.5,sales,103927.91
50,9,26.9,technical,120641.51
37,9,46.1,professional,113644.85
46,11,18.6,technical,117519.14
28,8,37.8,professional,92134.32
60,8,51.4,management,122088.43
36,16,40.2,technical,161525.75
21,8,35.0,technical,84507.55
61,8,48.9,management,134760.28
70,8,49.7,sales,130447.38
18,9,53.1,sales,108745.58
43,12,48.7,professional,126751.49
65,15,50.8,sales,190537.6
58,14,47.3,service,169426.06
67,13,42.7,sales,161923.72
42,8,40.9,sales,108497.68
39,14,37.6,technical,148616.07
59,8,27.9,professional,98255.93
26,13,30.4,service,135633.07
31,11,37.2,professional,121371.41
52,15,42.4,technical,171083.38
56,10,54.4,professional,132617.12
24,13,39.6,technical,123708.71
47,11,50.0,service,139517.29
39,12,50.8,professional,151678.12
47,16,37.7,service,178285.83
73,14,45.9,professional,171226.71
22,11,37.6,professional,115166.73
75,12,53.2,professional,167379.54
44,14,46.4,service,165757.28
62,11,28.1,professional,140438.98
42,9,41.6,sales,95242.22
36,12,56.5,sales,145763.21
62,8,38.2,management,113309.75
57,9,44.5,professional,117482.88
26,11,45.5,professional,119620.13
58,15,29.6,professional,172965.9
61,15,45.1,technical,170240.13
40,10,26.1,professional,116686.51
71,11,33.7,sales,150863.64
55,9,50.8,service,129083.5
37,14,43.6,service,148066.47
18,10,37.0,service,96332.28
57,15,44.5,sales,184420.11
30,15,39.4,technical,146242.56
61,14,40.1,technical,175532.1
48,10,46.6,professional,127911.57
45,16,32.7,management,172214.76
27,14,40.4,professional,133863.14
59,13,36.9,technical,155321.53
27,15,24.1,technical,149563.5
42,15,30.8,service,151046.84
66,8,55.7,service,135495.41
71,15,43.8,professional,187790.57
75,14,26.8,sales,166879.71
73,9,24.6,management,132545.11
50,10,38.9,sales,111841.29
29,14,55.6,management,156983.81
66,9,38.1,management,140060.84
64,12,53.1,technical,169302.65
75,14,43.5,technical,182813.22
55,13,44.7,service,155823.62
26,16,26.6,service,152059.03
47,9,49.4,professional,120449.04
43,10,36.7,sales,123565.48
66,16,48.6,service,191038.13
40,13,31.9,sales,145137.99
37,10,41.8,professional,132512.18
22,10,43.5,professional,108706.64
66,11,38.5,technical,136257.12
61,12,44.0,professional,144138.68
20,10,37.3,technical,109355.35
43,13,33.5,service,142834.49
45,12,56.1,technical,153984.08
45,13,50.5,sales,150493.29
71,9,32.4,professional,135275.98
26,13,45.7,management,136990.17
35,16,32.6,sales,160992.2
28,9,28.2,professional,94839.43
32,10,50.3,management,112077.96
70,14,23.0,technical,178402.15
72,13,49.3,technical,171563.89
20,14,37.5,professional,142643.23
54,13,37.9,service,149839.51
31,14,44.1,sales,142959.96
29,13,45.8,sales,138669.04
34,8,31.7,service,103842.01
29,14,47.2,sales,146706.59
46,12,41.1,technical,135119.6
75,8,27.4,management,124031.36
52,11,38.3,service,138352.21
59,11,53.8,technical,159218.42
46,8,56.8,technical,121149.79
18,16,47.2,management,166069.58
22,10,28.1,management,105301.26
33,10,44.9,service,110076.6
32,11,48.5,technical,120460.95
66,15,47.3,technical,178542.08
66,14,47.8,technical,167702.16
67,14,43.6,management,179912.3
54,10,39.3,sales,131059.92
50,15,33.9,service,167566.72
55,15,21.0,service,146604.71
41,12,43.4,service,151883.15
56,12,41.9,professional,142365.04
64,8,45.6,sales,138632.59
62,14,26.6,sales,152467.3
53,16,46.5,technical,180705.19
21,12,60.5,professional,119636.0
60,12,40.8,professional,152739.81
39,12,39.4,management,127757.19
61,8,43.1,management,114854.15
49,13,60.3,technical,153249.18
69,14,29.8,technical,173566.61
37,16,42.0,professional,176980.36
72,16,32.0,service,203118.31
66,12,34.5,sales,146688.9
37,16,39.5,technical,172387.79
45,12,53.5,professional,138484.12
48,13,58.0,technical,158020.36
62,13,44.5,professional,159184.96
57,16,36.2,service,186185.86
67,14,64.9,professional,193064.57
39,9,35.7,service,115752.07
47,8,34.3,professional,101709.61
42,11,22.3,technical,125770.73
70,12,54.0,service,164346.47
35,14,49.7,professional,153559.33
52,12,64.2,technical,153047.13
24,12,26.1,service,113472.56
67,16,54.6,sales,211583.19
40,11,40.7,management,130026.79
37,12,48.1,technical,139423.05
51,13,23.5,service,141625.29
46,12,54.7,service,164127.83
67,16,47.9,technical,205046.62
48,16,39.6,service,174037.3
47,12,46.5,professional,142624.14
24,12,32.3,professional,119151.71
19,13,34.2,management,127753.92
41,9,35.4,management,105954.77
75,11,21.5,service,144805.18
71,9,48.6,technical,148239.93
54,9,51.9,management,120176.86
54,8,33.0,sales,104038.8
40,13,43.5,management,143467.25
28,8,37.3,sales,92729.5
18,13,43.3,service,144088.2
37,11,33.7,technical,128602.31
36,11,31.2,technical,126122.13
29,14,50.5,professional,150211.89
33,12,39.4,technical,128842.19
19,14,60.2,service,140829.37
53,14,40.5,professional,168279.88
71,8,30.7,professional,125227.57
58,9,52.3,management,140068.84
43,13,46.3,technical,148891.68
42,16,47.3,professional,177814.44
35,9,51.9,professional,116515.28
26,8,33.5,sales,97836.1
52,16,38.7,management,171481.91
50,16,38.3,technical,184179.6
18,9,27.1,service,89729.36
42,11,37.4,management,120711.98
34,13,53.4,management,134292.82
27,9,42.4,management,103679.96
58,10,26.5,technical,134379.66
48,11,24.4,sales,135571.21
54,13,56.6,service,165958.88
59,10,39.1,management,145329.14
74,11,33.5,professional,147603.0
64,10,37.3,sales,141262.38
53,14,25.2,professional,151885.67
68,9,54.2,service,136443.81
45,10,36.1,technical,116707.26
75,10,53.7,professional,138400.13
62,16,40.5,service,197388.39
55,16,54.3,technical,187530.02
70,12,42.6,technical,153156.99
47,9,48.5,management,114284.65
59,14,47.2,management,169770.54
34,12,46.2,technical,146645.32
73,15,43.5,technical,202019.22
54,11,37.7,professional,125366.56
63,16,59.2,sales,197669.19
44,15,30.9,sales,154484.54
68,10,40.0,service,145820.75
22,14,40.1,service,143188.59
24,10,44.0,professional,106648.58
47,11,35.7,technical,130652.5
60,10,43.1,management,132400.74
64,14,38.3,management,180207.83
43,10,24.2,technical,116727.36
55,13,40.1,management,159599.06
50,13,29.0,technical,128304.6
73,14,22.7,professional,166970.61
55,16,41.4,professional,198131.88
42,8,44.9,management,118132.34
74,16,45.3,technical,188028.96
24,8,45.7,professional,95311.31
75,12,20.7,management,142015.4
26,11,26.4,sales,121479.44
34,13,59.7,management,152934.84
65,14,29.5,service,160593.54
60,15,46.1,management,180977.67
74,11,33.1,sales,130716.84
61,16,40.8,professional,181424.16
54,10,33.7,management,126326.85
38,9,45.6,management,119547.05
18,11,41.4,sales,100376.59
25,12,35.5,professional,120511.42
35,14,29.5,management,151130.87
20,15,42.7,management,141434.33
47,10,27.9,technical,119492.6
63,10,44.3,service,138652.84
73,16,66.3,service,220000.0
46,11,53.5,technical,137772.92
68,10,47.2,management,142208.37
75,16,39.1,service,202924.61
67,12,20.6,service,135570.11
44,16,26.8,professional,167429.89
36,16,52.8,sales,174631.36
74,16,32.1,service,191891.62
32,13,33.0,service,140761.42
41,15,38.3,professional,166786.99
22,16,29.4,service,150030.52
64,10,27.7,service,130714.18
55,8,39.5,management,125339.4
22,10,31.1,sales,96865.57
30,13,32.6,sales,134560.65
50,12,32.2,professional,137402.42
49,8,45.2,management,114192.59
64,13,37.7,management,149616.7
33,9,38.2,service,115649.5
71,12,46.0,technical,155904.43
43,13,38.6,sales,152680.92
65,13,37.2,technical,156623.32
31,11,44.7,technical,119864.57
20,11,46.7,service,125203.26
21,14,38.5,sales,146195.21
39,14,40.8,technical,154943.53
73,15,32.2,service,187143.65
20,11,31.4,technical,107033.52
39,11,47.7,technical,131118.79
24,10,44.4,management,106719.48
72,12,44.6,service,166735.08
57,9,42.8,service,121299.19
62,11,40.5,technical,152950.51
59,9,47.0,professional,127439.03
56,12,49.4,technical,152430.92
62,15,49.1,sales,188739.5
18,16,39.0,professional,157539.05
68,12,53.9,management,161246.58
60,8,42.3,professional,120490.52
60,10,46.3,technical,143060.75
40,8,42.8,service,102672.09
64,14,42.5,service,171181.86
40,16,32.6,technical,169358.44
20,12,47.0,professional,131431.75
70,9,68.5,service,148361.81
31,8,36.3,professional,108821.71
23,16,40.7,technical,160811.18
54,10,35.5,sales,125573.79
31,9,35.1,technical,102265.86
67,9,55.4,service,131197.99
43,10,33.3,service,111432.8
18,13,35.3,technical,123235.89
73,16,24.1,service,195089.89
47,10,32.4,professional,120290.68
33,14,22.9,sales,136397.47
57,8,46.3,sales,128776.54
48,8,68.0,management,136510.13
19,8,36.3,sales,96872.39
62,16,23.3,sales,174025.95
41,13,49.0,professional,147123.55
58,15,32.7,management,183787.21
69,8,53.0,sales,134442.96
53,8,37.2,sales,111238.41
56,15,33.7,management,175790.29
32,8,38.2,service,105397.82
31,9,47.6,management,106515.03
42,12,37.7,management,137530.07
67,13,35.0,sales,166883.32
48,10,38.0,professional,116737.42
38,12,27.3,technical,127639.56
63,14,44.0,management,164884.0
67,11,22.1,professional,130322.6
70,11,35.6,service,142540.05
35,8,47.6,professional,109207.04
59,12,43.0,technical,148828.14
52,15,45.9,service,170828.06
44,13,39.3,technical,147470.02
41,16,51.7,technical,173016.55
24,9,49.2,management,109034.75
33,8,44.5,sales,110336.93
49,12,49.3,service,146841.19
69,9,47.5,management,135471.79
68,13,35.6,sales,164302.98
28,16,26.6,service,144361.71
57,11,44.2,service,145344.18
22,12,45.5,sales,146520.27
57,14,50.9,technical,170944.06
37,9,30.6,service,104337.6
44,16,30.9,management,175986.28
59,9,44.6,professional,138885.8
42,15,39.3,technical,170741.89
64,13,21.1,management,137109.53
48,9,43.8,management,123686.87
75,14,21.5,professional,184873.08
55,9,30.5,technical,121708.64
35,13,53.5,service,141122.0
62,16,58.2,management,200606.93
41,16,27.8,professional,159027.63
48,15,36.7,technical,175197.59
25,12,40.4,professional,119475.71
24,13,57.8,sales,143772.0
51,10,35.1,sales,119186.51
28,16,35.2,service,158763.43
75,12,55.5,service,178632.49
67,14,36.3,technical,171354.99
58,11,47.2,management,140580.17
60,14,25.2,sales,152275.59
52,10,38.3,service,115065.02
21,14,23.4,sales,123282.75
40,8,29.4,service,100351.99
46,8,48.4,service,120616.27
71,11,39.5,professional,145426.11
30,12,36.8,management,137407.97
46,14,32.5,technical,149261.98
37,11,37.8,technical,122782.19
25,8,43.0,technical,89568.02
23,10,49.8,professional,119718.85
39,11,15.0,professional,126826.69
22,12,31.7,professional,107328.02
21,13,41.6,management,130017.64
38,10,39.0,management,126050.18
29,13,44.0,professional,129806.09
50,13,42.7,technical,156847.59
19,14,37.0,professional,145406.66
35,12,34.7,sales,130065.31
44,15,37.5,sales,168422.47
73,9,51.5,professional,153225.63
54,14,32.7,technical,172282.59
69,8,39.4,management,124980.92
37,8,41.8,technical,100877.07
44,15,55.6,service,168798.07
42,12,37.0,professional,142053.09
69,13,49.6,service,161349.56
73,13,52.3,sales,172926.82
73,14,39.4,technical,177260.69
61,10,37.9,management,130044.39
47,9,36.7,management,117270.72
49,8,37.4,sales,126991.45
74,15,48.5,technical,191103.94
34,10,42.3,management,114013.28
38,13,42.4,service,151186.42
70,12,28.7,technical,152323.08
40,9,30.3,sales,116396.17
31,11,61.4,technical,134202.3
50,8,38.2,service,109836.35
36,9,32.3,professional,93706.22
69,9,54.3,technical,130004.45
70,15,42.8,service,174013.92
35,13,45.8,management,146838.22
48,16,38.6,sales,169324.33
75,11,36.8,service,158551.42
61,9,38.3,technical,126325.56
30,13,26.2,service,128500.39
52,16,39.1,sales,175769.55
53,12,43.0,professional,150727.38
55,8,58.5,management,120877.45
19,10,40.9,management,99140.9
35,16,16.7,service,164724.51
67,12,39.1,technical,156642.64
31,16,67.4,management,180578.44
35,12,48.7,service,141388.85
36,8,31.9,sales,98227.31
28,15,45.9,management,160736.69
27,14,32.6,professional,135353.27
38,14,26.5,professional,158455.51
68,16,36.5,service,187254.65
18,9,40.9,professional,107579.18
34,16,21.3,technical,157613.7
21,10,28.5,professional,105398.62
50,16,40.1,management,185167.51
32,9,35.9,management,111971.27
63,12,43.9,sales,148761.93
51,15,27.9,sales,171406.97
63,8,47.1,service,137458.63
54,8,28.2,sales,107036.96
43,15,56.4,management,174756.64
67,8,22.8,professional,111490.07
45,13,29.1,sales,139931.78
73,16,44.2,professional,209858.0
75,13,56.6,service,171818.43
52,12,43.2,technical,139963.48
57,11,45.6,professional,153109.45
32,13,40.2,sales,143248.69
65,13,29.7,technical,170329.88
56,12,35.1,professional,141530.91
70,9,27.9,sales,127517.01
33,13,27.2,professional,128465.36
63,14,44.0,service,173084.94
45,14,28.8,service,139634.75
28,8,43.2,management,103238.89
27,14,27.0,management,139686.42
50,14,43.0,management,162099.86
36,9,35.1,management,104336.56
23,15,54.1,management,153416.5
42,12,43.2,service,143865.11
55,12,52.4,technical,145639.24
36,14,32.4,sales,150215.13
73,12,40.6,technical,172847.24
63,12,30.2,service,156314.43
47,10,35.9,technical,112614.7
72,16,37.4,service,190807.84
43,16,32.7,management,174185.42
26,9,27.8,sales,95419.58
20,14,25.9,sales,122973.38
72,8,16.6,service,117465.08
73,11,29.4,service,144867.86
60,16,46.3,management,203232.54
23,9,24.0,service,90023.95
35,11,26.3,technical,124210.22
20,9,57.9,management,99975.55
20,14,33.6,sales,129661.07
32,12,43.2,technical,136811.08
51,13,46.4,management,162969.66
21,16,46.6,management,157459.05
75,12,24.8,technical,152238.29
44,14,37.7,management,146392.77
33,8,23.8,service,90450.96
47,9,64.5,technical,136156.43
63,16,24.1,sales,177839.16
36,15,29.5,sales,153214.17
20,13,29.6,sales,117625.69
20,11,25.0,professional,101196.91
67,9,53.5,professional,150128.67
24,15,64.2,sales,165993.49
54,15,35.2,technical,164064.39
40,10,26.8,technical,110464.52
63,13,17.6,technical,138106.3
21,13,37.6,management,123458.03
70,12,36.8,professional,164056.72
58,16,33.5,service,181429.94
44,9,42.2,sales,128668.99
30,10,44.0,professional,114326.55
74,8,43.2,professional,130772.24
35,14,36.8,management,152770.99
46,13,29.0,professional,125461.93
40,16,46.7,sales,178332.4
31,12,40.1,sales,129404.93
42,9,48.9,sales,128306.9
26,12,47.9,professional,136770.35
18,8,25.8,professional,74840.45
34,14,25.7,technical,149829.54
24,14,32.4,sales,136783.34
42,15,29.4,professional,153107.61
68,11,47.6,service,152677.93
27,10,43.5,sales,111287.06
18,8,51.0,sales,106074.68
24,11,44.0,professional,120837.59
47,12,42.1,service,143338.88
33,14,52.0,management,161396.58
46,14,44.7,technical,167731.03
19,9,40.7,sales,103129.67
37,10,54.8,sales,135041.86
41,12,41.2,professional,141244.45
43,11,37.0,sales,129158.73
49,8,31.6,service,115175.73
63,15,47.0,sales,182771.83
45,14,52.4,management,164363.74
66,12,39.5,sales,165066.54
48,10,53.1,professional,143108.9
33,15,20.3,management,147607.79
31,8,39.4,technical,95876.06
36,12,39.6,professional,142444.63
52,15,32.7,sales,173000.27
32,16,63.8,management,182900.72
71,10,39.3,professional,139016.63
45,13,35.9,professional,148106.18
68,9,40.3,management,131963.37
57,9,20.0,technical,108928.01
37,11,32.4,professional,122202.37
31,15,49.8,sales,164229.09
61,14,33.7,sales,162644.59
37,12,31.7,sales,135170.57
32,10,53.1,sales,129752.66
71,9,53.4,sales,147737.42
45,10,45.2,management,124320.69
20,9,35.4,service,100771.38
46,9,37.6,management,115751.34
44,14,32.0,sales,144188.69
68,9,30.1,professional,130863.17
59,8,29.6,sales,113934.71
29,12,33.8,management,141713.28
26,10,29.7,service,113754.16
53,12,24.4,sales,141076.62
20,9,42.2,management,101188.01
36,9,42.3,management,111916.15
26,11,57.0,sales,120673.25
19,14,33.3,service,124164.58
71,11,43.0,sales,145299.79
23,12,43.1,service,125464.28
18,12,37.5,service,105472.41
72,10,47.4,technical,142728.6
28,10,47.8,technical,114027.14
65,11,43.3,technical,145543.36
19,8,37.4,service,85021.92
26,14,36.4,sales,139857.6
24,13,26.3,sales,137175.33
58,10,31.9,service,132244.26
53,11,33.8,management,129679.88
45,10,28.8,service,116646.76
32,13,44.4,sales,141328.21
23,14,52.0,sales,143533.6
51,8,30.9,technical,103135.45
31,11,42.8,service,129470.21
52,8,29.7,technical,105412.93
57,12,37.0,technical,139061.92
67,10,33.1,technical,134595.64
46,11,46.0,professional,135920.36
18,12,33.2,management,103998.61
34,10,50.1,professional,120872.14
67,11,37.5,service,150833.28
48,14,33.5,technical,158804.03
53,15,27.5,technical,180096.5
44,8,42.5,service,117753.98
27,11,49.0,service,132884.64
70,15,42.7,technical,204099.84
62,12,62.4,service,168596.11
75,9,54.3,management,145785.47
67,13,36.9,sales,168230.58
34,9,36.8,professional,102777.49
32,8,44.7,service,103112.43
32,13,31.6,service,130273.33
71,12,51.7,professional,166656.0
50,14,43.6,professional,158595.25
44,11,42.6,management,127388.36
74,15,46.9,professional,193661.84
52,11,57.2,technical,144623.31
70,14,41.7,service,163255.23
75,8,38.9,technical,119846.3
22,8,55.1,technical,93669.87
38,15,49.7,technical,161578.22
60,15,36.8,management,178324.38
65,16,40.1,professional,192289.84
26,10,42.0,management,117971.77
36,8,43.6,management,109512.32
49,16,26.4,professional,179144.28
64,13,24.6,professional,156963.58
24,10,31.1,management,105055.13
52,14,30.4,technical,164083.58
35,16,33.6,sales,172273.36
30,10,46.3,service,118708.39
47,14,38.3,service,166076.72
42,15,42.0,technical,150628.56
54,12,27.8,management,137132.84
36,13,35.4,professional,137366.0
65,10,45.9,professional,147995.22
22,16,45.9,sales,174224.51
67,16,32.8,sales,178826.89
19,16,41.6,service,168699.94
60,14,62.0,sales,172323.13
38,8,39.8,professional,96514.45
40,11,33.1,sales,122307.49
19,12,38.3,technical,118230.48
58,16,40.9,sales,176315.47
27,12,38.5,sales,130247.3
56,12,39.7,management,151398.18
60,9,25.6,management,125274.0
67,15,30.4,professional,174184.09
59,11,38.5,management,139864.24
35,8,38.3,sales,100822.39
60,16,34.3,technical,195196.14
65,9,38.2,sales,110465.52
36,8,40.6,service,96744.59
25,8,48.9,technical,99856.93
69,12,39.0,service,148652.65
26,8,44.0,service,96145.13
52,15,34.6,service,167997.72
31,12,45.7,professional,128526.09
25,10,43.8,sales,111758.43
63,8,48.7,professional,130374.11
26,12,47.1,service,128542.82
56,9,45.9,sales,123853.96
58,16,39.0,technical,184319.44
21,10,42.4,management,107771.69
28,12,50.6,management,122091.74
64,8,33.5,service,121642.83
47,9,33.7,service,110873.93
25,9,41.8,service,111059.53
75,8,44.2,professional,136055.03
33,14,31.8,management,152016.71
18,16,39.3,professional,150955.49
71,16,39.1,sales,192107.2
18,10,17.8,sales,84112.84
50,15,37.8,technical,164604.51
75,12,38.4,technical,167727.96
51,8,38.4,service,121916.22
51,8,54.2,management,113453.8
40,12,27.8,management,126288.82
25,11,31.8,sales,112112.18
51,8,15.0,service,103185.58
70,16,35.2,service,180254.4
23,14,36.0,professional,129348.32
69,12,34.9,management,156632.21
42,16,51.1,professional,168161.68
49,16,48.6,service,181467.42
27,16,40.8,technical,165720.02
54,10,36.3,technical,130236.32
28,15,50.3,sales,159718.89
33,12,39.8,management,128568.43
59,14,31.8,technical,168133.09
20,15,22.8,management,141810.49
43,9,35.6,professional,107828.84
52,12,47.5,technical,148750.26
25,9,62.8,sales,116873.24
35,10,40.6,management,127780.26
37,11,32.3,sales,126444.52
56,15,28.2,management,175973.33
74,15,45.5,professional,186262.82
66,11,22.4,technical,132730.3
29,10,45.5,professional,113569.79
19,12,48.2,technical,124818.71
21,16,44.4,sales,155885.58
52,16,37.8,service,188758.64
27,10,45.6,service,119521.82
31,9,41.7,sales,105014.94
67,14,32.2,management,172635.3
68,10,58.5,technical,150998.97
66,9,36.5,sales,133306.33
32,8,47.8,service,95357.78
53,11,15.8,sales,122493.7
53,11,52.8,service,143386.21
28,13,54.7,professional,148424.54
50,9,40.3,technical,115440.92
48,14,45.6,professional,146267.55
40,14,45.6,service,149884.65
61,12,33.6,sales,146722.4
57,9,45.5,sales,127686.1
48,12,31.9,management,148051.41
60,14,33.9,professional,168283.55
62,11,51.3,management,149771.01
50,10,49.7,sales,131922.93
33,12,32.9,service,134346.65
61,11,32.7,sales,134472.48
59,11,33.5,service,136480.25
75,11,47.3,professional,149092.21
26,10,30.0,professional,113695.83
42,14,43.6,sales,159757.02
71,12,47.5,professional,157163.28
47,12,39.1,technical,139625.21
72,13,50.1,technical,175960.75
18,11,37.0,sales,108939.49
20,8,37.9,service,86778.88
64,15,30.2,management,170568.38
38,8,50.2,management,111826.87
48,13,32.3,professional,143749.45
42,10,43.5,professional,120147.18
41,9,39.3,professional,103985.04
72,8,29.5,sales,122543.5
23,16,33.9,service,156910.19
62,11,53.8,sales,148557.96
69,11,42.0,sales,150344.0
56,14,29.9,management,164355.55
40,8,43.1,professional,111668.62
27,13,38.5,technical,138381.78
57,12,74.5,technical,165287.42
45,12,42.9,management,137337.21
26,9,36.2,management,93682.79
38,16,54.2,technical,175892.84
73,10,21.6,management,132874.89
33,14,40.9,sales,144351.76
28,14,59.9,technical,157037.59
57,11,38.8,service,132628.31
29,9,22.7,sales,84332.08
71,10,36.0,professional,144621.45
67,15,54.5,service,187212.17
75,16,43.8,service,194465.87
70,16,31.6,technical,182614.49
32,10,33.1,sales,113153.76
30,13,34.4,technical,143551.22
37,9,43.6,service,109628.29
45,14,53.4,management,163302.78
69,11,50.5,professional,160696.81
60,14,44.6,service,158584.03
55,14,26.7,management,169804.46
68,16,26.7,service,201521.23
55,12,45.3,professional,131796.21
39,11,26.5,professional,118909.01
41,12,37.7,sales,130740.75
47,9,43.0,technical,117213.49
23,9,28.6,technical,91485.41
61,12,29.8,sales,150297.51
55,15,39.1,management,172646.64
60,12,45.0,technical,146803.7
48,15,50.6,technical,173715.16
63,9,46.1,service,135146.57
73,12,40.7,service,151765.44
51,13,32.5,sales,137588.08
43,11,29.3,management,136805.71
24,8,34.9,management,87243.54
63,8,44.1,management,122890.99
70,16,43.4,technical,193603.97
58,13,19.0,management,149305.78
68,10,32.1,sales,146574.77
67,10,52.0,professional,149067.22
64,8,40.8,management,112795.45
47,16,25.8,technical,161447.86
23,8,63.6,management,103892.89
18,14,39.7,technical,136541.16
29,10,43.8,service,102994.01
42,11,44.0,service,136565.97
61,10,36.3,management,125390.0
44,15,32.7,technical,171900.82
19,8,61.2,sales,114232.47
30,11,50.0,sales,124546.86
74,10,48.2,service,150946.84
75,10,45.8,professional,139434.79
39,9,30.0,professional,110197.33
64,16,52.8,professional,193926.37
59,11,31.6,sales,129238.61
72,11,42.8,service,149720.27
69,11,23.6,professional,135898.87
54,16,19.6,professional,169799.95
40,11,43.2,technical,135566.39
54,11,31.9,sales,127888.33
36,10,20.1,technical,117310.09
38,10,45.4,professional,112733.33
53,8,61.2,professional,136689.88
51,13,53.9,professional,153427.93
51,8,37.4,sales,111707.31
40,10,40.1,service,116635.23
41,9,48.9,sales,115709.83
18,10,51.2,professional,115753.39
52,14,36.6,technical,170103.29
51,13,40.3,sales,160319.06
72,16,43.0,professional,194760.02
47,11,45.5,management,136786.85
45,16,38.7,sales,171022.78
21,8,38.8,service,85023.6
29,12,53.8,technical,128392.64
37,15,52.1,professional,165104.15
39,12,44.8,management,139502.71
39,16,57.2,technical,169666.51
40,10,36.1,sales,117346.11
62,8,56.2,management,139609.66
25,14,45.4,management,153620.12
37,8,72.7,sales,117516.09
27,14,28.1,service,129105.54
35,14,33.1,professional,149541.36
57,15,44.2,professional,162536.12
20,12,44.0,service,131355.31
37,16,59.5,technical,180575.65
19,9,33.3,sales,105889.07
73,11,49.0,sales,144494.65
60,9,51.6,professional,138723.18
32,14,47.0,management,151466.12
29,14,30.4,management,138706.55
23,15,54.1,technical,150334.71
45,14,52.3,management,167977.51
